"age","maritl","race","education","jobclass","health","health_ins","salary"
27,"Never Married","White","College Grad","Information","Good","Yes",109.833985642199
43,"Never Married","White","non HS Grad","Industrial","Average","No",45.282169994022
50,"Never Married","Other","non HS Grad","Industrial","Average","Yes",73.7757432746946
39,"Married","Black","HS Grad","Information","Good","No",81.2832532842527
52,"Married","White","Advanced Degree","Industrial","Good","Yes",154.68529299563
35,"Married","White","College Grad","Industrial","Good","Yes",267.901086855275
57,"Married","White","Advanced Degree","Information","Good","Yes",176.989650489877
25,"Never Married","White","non HS Grad","Industrial","Good","No",66.2294082943902
33,"Never Married","White","HS Grad","Information","Average","Yes",116.265324062503
57,"Married","White","Advanced Degree","Information","Good","No",200.543262324662
71,"Married","White","Some College","Industrial","Good","Yes",101.82435207568
43,"Married","White","College Grad","Industrial","Good","Yes",272.294783220064
23,"Never Married","White","Some College","Industrial","Good","No",35.0334213214995
30,"Never Married","White","Advanced Degree","Information","Good","Yes",114.475713290347
22,"Never Married","Black","HS Grad","Information","Good","Yes",81.2832532842527
59,"Married","White","Advanced Degree","Information","Average","Yes",200.543262324662
28,"Never Married","Asian","College Grad","Information","Good","Yes",148.413159102577
61,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
34,"Married","White","HS Grad","Information","Good","Yes",111.720849360989
43,"Married","White","College Grad","Industrial","Good","Yes",152.838800991182
54,"Married","White","Some College","Industrial","Good","No",117.146816914805
69,"Married","White","HS Grad","Industrial","Average","Yes",77.7376033039781
41,"Married","White","Some College","Industrial","Average","Yes",87.9810327856054
48,"Married","White","Advanced Degree","Information","Good","Yes",125.525498433836
49,"Married","White","Some College","Information","Good","Yes",123.336103962059
42,"Married","White","HS Grad","Industrial","Good","Yes",158.294621427791
37,"Married","White","College Grad","Information","Good","Yes",200.543262324662
55,"Married","Asian","HS Grad","Industrial","Good","Yes",99.6894636984864
21,"Never Married","Black","HS Grad","Industrial","Good","No",70.4760196469445
58,"Married","White","HS Grad","Information","Good","Yes",94.0727147457005
31,"Never Married","White","HS Grad","Industrial","Good","No",81.2832532842527
25,"Never Married","White","HS Grad","Industrial","Good","Yes",81.2832532842527
32,"Never Married","White","Some College","Information","Good","Yes",100.764272842107
40,"Never Married","Black","non HS Grad","Information","Good","Yes",94.0727147457005
44,"Married","White","Advanced Degree","Information","Good","No",99.6894636984864
60,"Married","White","College Grad","Industrial","Good","Yes",268.266292012557
23,"Never Married","White","non HS Grad","Industrial","Average","Yes",81.2832532842527
63,"Married","White","HS Grad","Information","Good","No",113.567089569751
44,"Never Married","White","non HS Grad","Industrial","Average","No",87.9810327856054
47,"Married","Asian","Advanced Degree","Information","Average","Yes",128.680488220624
61,"Married","White","Some College","Industrial","Good","Yes",106.723977625299
55,"Married","White","Advanced Degree","Information","Good","No",66.0446942318056
24,"Never Married","White","non HS Grad","Industrial","Average","No",51.521956314716
42,"Widowed","White","HS Grad","Industrial","Good","Yes",85.3839403789827
25,"Married","White","HS Grad","Information","Good","Yes",76.8936025176112
34,"Divorced","White","HS Grad","Industrial","Good","No",90.4819133566401
53,"Married","White","non HS Grad","Information","Good","No",68.0764282889521
53,"Married","White","College Grad","Information","Good","Yes",130.982177377461
70,"Married","Asian","Advanced Degree","Information","Average","No",127.901232979118
47,"Married","White","College Grad","Information","Good","Yes",131.224593755096
46,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
33,"Divorced","White","non HS Grad","Industrial","Average","Yes",76.8936025176112
34,"Married","White","Advanced Degree","Information","Good","Yes",107.903923866876
22,"Never Married","White","HS Grad","Industrial","Average","No",81.2832532842527
74,"Married","White","HS Grad","Industrial","Good","Yes",99.6894636984864
40,"Married","Black","Some College","Information","Average","Yes",98.5993438603892
45,"Married","White","College Grad","Information","Good","Yes",200.543262324662
43,"Married","Asian","College Grad","Information","Good","Yes",156.503510882633
33,"Married","Asian","College Grad","Information","Good","Yes",144.944364980516
62,"Married","Black","College Grad","Information","Good","Yes",118.884359339886
37,"Married","White","College Grad","Information","Good","Yes",121.430313822622
54,"Married","White","HS Grad","Information","Average","Yes",111.720849360989
34,"Married","White","Some College","Industrial","Good","No",68.7480877337669
50,"Never Married","White","College Grad","Information","Good","Yes",114.475713290347
46,"Divorced","White","Some College","Industrial","Average","Yes",95.2307125669819
41,"Married","White","non HS Grad","Industrial","Good","No",87.9810327856054
63,"Divorced","Black","Some College","Industrial","Average","Yes",64.2743972206327
38,"Married","White","Some College","Industrial","Average","Yes",128.680488220624
35,"Married","White","Some College","Industrial","Good","Yes",114.475713290347
29,"Married","White","College Grad","Information","Average","Yes",112.6488963421
66,"Married","White","non HS Grad","Industrial","Good","Yes",81.2832532842527
37,"Married","White","HS Grad","Information","Average","Yes",75.8954848228103
39,"Married","Black","HS Grad","Information","Good","Yes",112.136922992214
42,"Married","White","HS Grad","Industrial","Good","No",85.3839403789827
51,"Divorced","White","HS Grad","Industrial","Good","Yes",94.0727147457005
55,"Married","Asian","Advanced Degree","Industrial","Average","Yes",114.475713290347
51,"Married","White","Advanced Degree","Industrial","Good","Yes",176.989650489877
38,"Married","White","Advanced Degree","Industrial","Average","Yes",276.778413321176
49,"Married","White","HS Grad","Information","Good","Yes",101.82435207568
42,"Married","White","HS Grad","Information","Good","No",91.6992261117042
43,"Separated","White","non HS Grad","Information","Average","No",86.6951548289402
38,"Married","White","College Grad","Information","Good","Yes",162.946460744664
59,"Married","Asian","HS Grad","Industrial","Good","Yes",139.213788138664
57,"Married","White","Some College","Industrial","Average","Yes",95.2307125669819
25,"Never Married","White","HS Grad","Industrial","Average","No",66.9616443217359
49,"Married","White","College Grad","Industrial","Average","Yes",131.194323611687
41,"Married","White","non HS Grad","Industrial","Good","Yes",90.4819133566401
38,"Married","White","HS Grad","Industrial","Good","Yes",114.475713290347
61,"Married","White","Advanced Degree","Industrial","Good","Yes",79.1280844956297
49,"Divorced","White","HS Grad","Industrial","Average","Yes",104.591737924918
52,"Divorced","White","Advanced Degree","Information","Good","Yes",132.487821126123
43,"Married","White","Advanced Degree","Information","Good","Yes",141.77517233318
60,"Married","White","College Grad","Information","Good","Yes",123.089699847943
46,"Married","Asian","Advanced Degree","Information","Good","Yes",134.705375118879
21,"Never Married","White","HS Grad","Information","Good","No",55.7673905084923
61,"Married","White","College Grad","Industrial","Good","Yes",106.921814091211
32,"Married","Black","Advanced Degree","Information","Good","Yes",118.884359339886
58,"Married","White","HS Grad","Information","Average","Yes",87.9810327856054
35,"Never Married","White","HS Grad","Information","Good","Yes",88.9296066367913
26,"Never Married","Black","HS Grad","Information","Good","Yes",81.2832532842527
32,"Never Married","Black","HS Grad","Industrial","Good","No",94.0727147457005
37,"Married","White","HS Grad","Information","Good","Yes",106.921814091211
22,"Never Married","Asian","HS Grad","Industrial","Average","No",59.0970640815891
51,"Never Married","White","HS Grad","Industrial","Average","No",65.1108537153447
44,"Divorced","White","Advanced Degree","Information","Average","Yes",120.589436530402
35,"Married","Asian","Advanced Degree","Industrial","Good","Yes",157.700527725737
60,"Married","White","HS Grad","Information","Good","Yes",129.453644576625
40,"Married","White","College Grad","Information","Good","Yes",176.989650489877
35,"Never Married","White","non HS Grad","Information","Good","No",59.0970640815891
35,"Married","White","Advanced Degree","Information","Good","No",94.0727147457005
47,"Married","White","HS Grad","Industrial","Good","Yes",134.705375118879
43,"Never Married","White","College Grad","Information","Good","Yes",81.2832532842527
33,"Married","White","non HS Grad","Industrial","Average","Yes",81.2832532842527
60,"Divorced","White","Advanced Degree","Industrial","Good","Yes",153.457515308961
38,"Married","Asian","Advanced Degree","Industrial","Good","Yes",136.876367635184
53,"Married","White","HS Grad","Information","Good","No",75.0431540173515
55,"Married","White","Some College","Information","Good","Yes",130.220832358777
57,"Married","Black","HS Grad","Information","Average","No",104.921506533664
64,"Married","White","College Grad","Information","Average","No",49.5553381215226
43,"Married","White","HS Grad","Industrial","Average","Yes",123.908567597957
35,"Married","Black","Some College","Information","Good","Yes",123.089699847943
54,"Married","White","HS Grad","Information","Good","No",78.155161407934
45,"Married","White","HS Grad","Information","Average","Yes",73.7757432746946
58,"Divorced","Asian","College Grad","Information","Good","Yes",138.299126920883
48,"Married","White","College Grad","Information","Average","No",127.115743812184
46,"Married","Asian","non HS Grad","Industrial","Good","Yes",68.7480877337669
46,"Married","White","HS Grad","Industrial","Good","Yes",84.39111474778
55,"Married","White","non HS Grad","Industrial","Good","Yes",85.3839403789827
51,"Married","White","Some College","Industrial","Good","Yes",128.680488220624
49,"Married","White","Some College","Industrial","Good","Yes",70.4760196469445
34,"Never Married","White","Some College","Industrial","Good","Yes",76.8936025176112
53,"Married","White","Some College","Industrial","Good","No",148.413159102577
40,"Married","White","Some College","Industrial","Good","Yes",148.413159102577
50,"Married","White","Some College","Industrial","Good","Yes",175.960883130401
37,"Divorced","White","non HS Grad","Information","Average","Yes",98.5993438603892
39,"Married","White","Some College","Industrial","Good","Yes",145.143601176911
52,"Married","White","College Grad","Industrial","Average","Yes",99.6894636984864
50,"Married","White","HS Grad","Information","Good","Yes",141.08887439127
48,"Married","White","College Grad","Industrial","Good","Yes",123.089699847943
47,"Married","White","HS Grad","Industrial","Good","Yes",129.453644576625
27,"Married","White","College Grad","Industrial","Good","Yes",111.720849360989
39,"Married","White","HS Grad","Industrial","Good","Yes",103.90247060316
44,"Married","Black","HS Grad","Information","Average","Yes",118.884359339886
37,"Married","Black","Some College","Industrial","Good","Yes",151.591484239814
52,"Married","White","HS Grad","Industrial","Average","No",101.82435207568
26,"Never Married","Asian","Some College","Industrial","Good","Yes",99.6894636984864
39,"Married","Asian","Advanced Degree","Industrial","Average","Yes",99.6894636984864
25,"Married","Black","HS Grad","Industrial","Average","No",99.6894636984864
31,"Never Married","White","College Grad","Information","Good","No",94.0727147457005
58,"Married","White","Some College","Industrial","Average","Yes",152.216806827106
30,"Married","White","College Grad","Information","Good","Yes",104.921506533664
27,"Married","White","non HS Grad","Industrial","Average","Yes",65.1108537153447
40,"Divorced","White","HS Grad","Industrial","Good","Yes",95.2307125669819
55,"Married","White","Advanced Degree","Industrial","Good","Yes",173.879493310012
35,"Married","Asian","Advanced Degree","Information","Good","Yes",193.411070530969
48,"Married","White","HS Grad","Industrial","Average","No",114.475713290347
29,"Never Married","Asian","College Grad","Industrial","Average","Yes",160.642475408263
25,"Never Married","White","Some College","Industrial","Good","Yes",89.4924795180001
40,"Married","White","Some College","Industrial","Good","Yes",120.589436530402
27,"Married","White","non HS Grad","Information","Average","No",73.7757432746946
44,"Married","White","HS Grad","Information","Good","Yes",127.115743812184
49,"Married","White","Some College","Information","Good","Yes",118.884359339886
22,"Never Married","White","Some College","Industrial","Average","No",34.6074177301288
45,"Married","White","Some College","Industrial","Average","Yes",114.475713290347
33,"Married","White","Some College","Industrial","Good","No",85.3839403789827
63,"Married","Black","Advanced Degree","Information","Good","Yes",318.342430056529
49,"Never Married","Black","College Grad","Industrial","Good","Yes",141.77517233318
39,"Never Married","White","Advanced Degree","Information","Good","Yes",130.982177377461
25,"Never Married","Other","non HS Grad","Industrial","Average","No",73.7757432746946
29,"Never Married","White","Advanced Degree","Information","Good","Yes",130.982177377461
37,"Married","White","HS Grad","Industrial","Good","Yes",75.0431540173515
35,"Married","White","Advanced Degree","Information","Average","Yes",154.990260276812
46,"Married","White","HS Grad","Industrial","Average","Yes",104.921506533664
58,"Married","White","College Grad","Industrial","Good","Yes",73.118306923864
39,"Married","White","Advanced Degree","Industrial","Good","Yes",123.089699847943
41,"Married","White","College Grad","Information","Good","Yes",157.700527725737
29,"Married","Black","College Grad","Information","Good","Yes",81.2832532842527
37,"Married","White","College Grad","Information","Average","Yes",107.256062128429
62,"Married","White","HS Grad","Information","Average","No",78.9816745162994
27,"Never Married","Black","HS Grad","Industrial","Good","Yes",73.7757432746946
37,"Married","White","HS Grad","Industrial","Average","Yes",94.0727147457005
56,"Separated","Asian","College Grad","Information","Average","No",99.6894636984864
36,"Married","White","Some College","Information","Good","Yes",176.989650489877
23,"Never Married","Other","HS Grad","Information","Good","No",73.7757432746946
46,"Married","White","Some College","Information","Good","Yes",99.6894636984864
26,"Never Married","White","Some College","Industrial","Good","No",94.0727147457005
43,"Married","White","non HS Grad","Information","Good","Yes",95.2307125669819
36,"Married","White","HS Grad","Information","Good","Yes",127.115743812184
54,"Separated","White","Some College","Information","Average","Yes",99.6894636984864
62,"Married","White","HS Grad","Industrial","Good","Yes",95.6888119067371
40,"Married","White","HS Grad","Industrial","Good","Yes",109.833985642199
53,"Married","White","Some College","Industrial","Good","Yes",118.884359339886
48,"Married","White","Advanced Degree","Information","Good","Yes",176.989650489877
23,"Married","White","College Grad","Industrial","Good","No",61.1875264339915
34,"Married","White","HS Grad","Industrial","Good","Yes",81.2832532842527
43,"Married","White","College Grad","Information","Good","No",256.400649562425
55,"Married","White","HS Grad","Information","Average","Yes",81.2832532842527
59,"Never Married","White","HS Grad","Information","Good","Yes",81.2832532842527
60,"Married","White","HS Grad","Information","Good","No",55.7673905084923
49,"Never Married","White","HS Grad","Industrial","Good","Yes",75.3556793180091
45,"Married","Asian","Some College","Industrial","Good","Yes",130.982177377461
31,"Divorced","White","HS Grad","Industrial","Good","No",43.7351116779821
34,"Never Married","White","College Grad","Information","Average","Yes",114.475713290347
26,"Never Married","White","Advanced Degree","Information","Good","Yes",114.475713290347
22,"Never Married","White","HS Grad","Industrial","Good","No",81.2832532842527
40,"Married","White","HS Grad","Information","Average","No",68.5721657022738
41,"Married","White","Some College","Information","Good","Yes",109.833985642199
36,"Never Married","Black","Some College","Industrial","Good","Yes",97.4932940453934
38,"Married","White","non HS Grad","Industrial","Good","No",62.3983547205685
48,"Married","White","HS Grad","Industrial","Good","No",97.4932940453934
47,"Married","White","Some College","Information","Good","Yes",134.705375118879
47,"Separated","White","non HS Grad","Industrial","Average","No",61.1875264339915
35,"Married","White","College Grad","Information","Average","No",118.884359339886
49,"Married","Asian","HS Grad","Information","Good","Yes",65.1108537153447
40,"Married","White","Some College","Information","Good","Yes",109.833985642199
32,"Widowed","Asian","College Grad","Industrial","Good","No",104.921506533664
57,"Married","White","College Grad","Industrial","Good","Yes",73.7757432746946
56,"Married","White","College Grad","Industrial","Good","Yes",141.77517233318
73,"Married","White","non HS Grad","Industrial","Average","No",90.4819133566401
29,"Never Married","White","HS Grad","Industrial","Average","Yes",73.7757432746946
49,"Married","Asian","Advanced Degree","Industrial","Good","Yes",134.705375118879
30,"Never Married","White","HS Grad","Industrial","Good","Yes",109.833985642199
29,"Married","White","HS Grad","Industrial","Good","Yes",91.6992261117042
36,"Married","White","Some College","Information","Good","No",95.2307125669819
39,"Married","White","Advanced Degree","Information","Good","Yes",156.503510882633
48,"Married","White","College Grad","Information","Good","Yes",104.921506533664
45,"Married","Black","College Grad","Industrial","Good","Yes",99.6894636984864
50,"Married","White","College Grad","Industrial","Average","No",54.5981500331442
42,"Married","White","College Grad","Information","Good","Yes",32.3664131748549
58,"Married","White","Some College","Industrial","Average","No",118.884359339886
48,"Married","White","HS Grad","Industrial","Good","Yes",109.833985642199
48,"Married","White","College Grad","Industrial","Good","Yes",109.833985642199
45,"Married","White","Some College","Information","Good","Yes",118.884359339886
41,"Divorced","White","Some College","Industrial","Good","Yes",110.782650276254
27,"Never Married","White","HS Grad","Industrial","Good","Yes",93.5572673479306
44,"Married","White","HS Grad","Information","Good","Yes",109.833985642199
32,"Married","White","College Grad","Information","Good","Yes",118.884359339886
46,"Married","White","non HS Grad","Information","Good","Yes",118.884359339886
52,"Married","Black","HS Grad","Information","Average","No",52.1561711699147
22,"Never Married","White","Some College","Industrial","Good","No",43.7351116779821
53,"Widowed","White","HS Grad","Industrial","Good","Yes",117.146816914805
34,"Married","White","Advanced Degree","Industrial","Average","Yes",118.884359339886
38,"Married","White","HS Grad","Industrial","Good","Yes",148.413159102577
42,"Married","White","non HS Grad","Information","Good","Yes",101.82435207568
25,"Never Married","Black","Some College","Information","Good","Yes",94.0727147457005
29,"Never Married","White","Some College","Industrial","Good","Yes",86.6951548289402
28,"Married","White","Advanced Degree","Information","Good","Yes",141.77517233318
46,"Married","White","College Grad","Industrial","Good","Yes",66.9616443217359
55,"Married","Black","Advanced Degree","Information","Good","Yes",118.884359339886
56,"Married","White","HS Grad","Industrial","Average","No",105.767639622758
41,"Divorced","Black","HS Grad","Information","Average","Yes",118.884359339886
61,"Married","White","Advanced Degree","Information","Good","No",176.989650489877
47,"Married","White","HS Grad","Information","Good","Yes",65.1108537153447
52,"Married","White","Some College","Industrial","Good","Yes",85.3839403789827
27,"Married","White","HS Grad","Industrial","Good","No",72.1504556815713
33,"Never Married","Black","Some College","Information","Good","Yes",89.2428846644714
58,"Never Married","White","HS Grad","Information","Average","Yes",65.1108537153447
27,"Married","White","College Grad","Industrial","Good","Yes",145.805163374625
52,"Separated","Black","HS Grad","Industrial","Good","Yes",87.9810327856054
45,"Married","White","Advanced Degree","Industrial","Good","No",41.0998036301194
22,"Never Married","White","HS Grad","Information","Good","Yes",68.3956538035455
25,"Never Married","White","Some College","Industrial","Average","Yes",81.2832532842527
25,"Never Married","White","HS Grad","Industrial","Good","Yes",73.7757432746946
41,"Married","Black","non HS Grad","Industrial","Good","Yes",130.982177377461
54,"Separated","White","College Grad","Industrial","Good","Yes",148.413159102577
23,"Married","White","HS Grad","Industrial","Good","Yes",81.226746312023
36,"Never Married","White","Advanced Degree","Industrial","Good","Yes",63.1888610037461
31,"Separated","White","Some College","Industrial","Average","Yes",94.0727147457005
52,"Married","White","HS Grad","Information","Average","Yes",92.6581301668597
46,"Married","Black","HS Grad","Information","Average","No",76.8936025176112
45,"Married","White","HS Grad","Industrial","Average","Yes",118.884359339886
40,"Married","White","HS Grad","Industrial","Average","No",79.8549003093467
33,"Never Married","Asian","College Grad","Information","Good","Yes",86.6951548289402
42,"Married","White","College Grad","Information","Good","Yes",133.971500070695
41,"Married","White","College Grad","Information","Good","Yes",125.525498433836
25,"Never Married","Other","HS Grad","Industrial","Good","Yes",92.8958447894966
24,"Divorced","White","HS Grad","Industrial","Good","Yes",72.1504556815713
24,"Never Married","White","Some College","Industrial","Good","No",118.884359339886
51,"Married","White","HS Grad","Information","Average","No",70.4760196469445
41,"Married","White","HS Grad","Industrial","Good","No",127.115743812184
42,"Never Married","White","College Grad","Information","Good","Yes",114.475713290347
30,"Never Married","White","College Grad","Industrial","Good","Yes",87.9810327856054
55,"Married","Asian","non HS Grad","Industrial","Good","No",54.5981500331442
23,"Never Married","White","HS Grad","Industrial","Good","Yes",84.0459576539924
60,"Divorced","White","College Grad","Information","Good","No",85.3839403789827
40,"Married","Asian","Advanced Degree","Information","Good","Yes",141.77517233318
41,"Never Married","White","HS Grad","Information","Good","Yes",110.782650276254
80,"Married","White","HS Grad","Information","Average","Yes",79.8549003093467
53,"Married","White","HS Grad","Information","Good","Yes",97.4932940453934
40,"Never Married","White","HS Grad","Industrial","Good","No",171.765132627508
35,"Married","White","Some College","Industrial","Average","Yes",137.481247831663
55,"Married","White","non HS Grad","Industrial","Average","Yes",75.3556793180091
24,"Never Married","White","HS Grad","Information","Good","Yes",73.7757432746946
39,"Married","White","College Grad","Information","Good","Yes",148.413159102577
30,"Married","White","Advanced Degree","Industrial","Good","Yes",95.2307125669819
68,"Married","White","HS Grad","Industrial","Average","Yes",87.9810327856054
54,"Married","Black","HS Grad","Information","Average","Yes",109.833985642199
27,"Never Married","White","College Grad","Industrial","Good","No",81.2832532842527
34,"Married","White","HS Grad","Industrial","Good","Yes",118.884359339886
53,"Married","White","Advanced Degree","Information","Average","Yes",127.115743812184
48,"Married","Black","Advanced Degree","Information","Good","No",85.3839403789827
59,"Married","White","HS Grad","Industrial","Good","Yes",81.2832532842527
30,"Married","White","Some College","Industrial","Good","No",118.884359339886
45,"Married","White","Advanced Degree","Information","Good","Yes",163.515863976238
39,"Married","Other","College Grad","Information","Average","Yes",104.921506533664
45,"Married","Asian","College Grad","Industrial","Average","No",99.6894636984864
43,"Married","White","Advanced Degree","Information","Good","Yes",281.745970551857
30,"Never Married","Black","Advanced Degree","Information","Good","Yes",138.299126920883
57,"Married","White","College Grad","Information","Good","Yes",176.989650489877
53,"Married","White","College Grad","Information","Average","Yes",136.876367635184
42,"Married","White","College Grad","Information","Good","Yes",186.876677628007
23,"Never Married","White","HS Grad","Industrial","Average","No",90.4819133566401
58,"Married","White","HS Grad","Industrial","Average","No",85.3839403789827
43,"Married","White","non HS Grad","Industrial","Good","Yes",145.143601176911
33,"Divorced","White","Advanced Degree","Information","Good","Yes",120.589436530402
56,"Married","White","College Grad","Information","Good","Yes",101.82435207568
37,"Married","Black","College Grad","Industrial","Good","No",108.874525834712
41,"Divorced","White","Advanced Degree","Industrial","Good","No",38.6059145209601
33,"Married","White","Some College","Information","Good","Yes",92.8958447894966
50,"Never Married","White","Advanced Degree","Information","Good","Yes",126.323880709786
43,"Married","White","Advanced Degree","Information","Good","Yes",191.573683548412
53,"Married","White","College Grad","Industrial","Good","Yes",155.900506146767
37,"Widowed","White","Some College","Information","Good","Yes",87.9810327856054
20,"Never Married","Black","Some College","Information","Good","No",59.0970640815891
26,"Never Married","White","Some College","Industrial","Good","Yes",73.7757432746946
29,"Divorced","White","College Grad","Information","Good","No",90.4819133566401
57,"Married","White","College Grad","Information","Good","Yes",118.884359339886
47,"Married","White","Some College","Information","Good","Yes",151.591484239814
54,"Married","White","Advanced Degree","Industrial","Good","No",272.294783220064
38,"Married","White","non HS Grad","Industrial","Average","No",97.4932940453934
23,"Never Married","White","Some College","Industrial","Good","No",68.111994065327
31,"Married","White","HS Grad","Information","Good","Yes",127.115743812184
43,"Married","White","College Grad","Information","Good","Yes",272.294783220064
33,"Married","White","Advanced Degree","Information","Average","No",111.720849360989
48,"Married","White","HS Grad","Industrial","Average","Yes",127.115743812184
33,"Married","White","HS Grad","Industrial","Good","Yes",87.9810327856054
52,"Married","White","College Grad","Information","Good","Yes",114.475713290347
30,"Never Married","Black","Some College","Information","Good","No",69.7915308454408
44,"Married","White","HS Grad","Industrial","Good","Yes",94.0727147457005
38,"Married","White","HS Grad","Information","Good","Yes",127.273347006486
51,"Married","White","HS Grad","Industrial","Good","Yes",160.642475408263
47,"Married","White","Some College","Industrial","Good","Yes",171.765132627508
28,"Married","White","College Grad","Information","Average","Yes",141.77517233318
52,"Divorced","White","Some College","Information","Good","Yes",115.375038556391
23,"Never Married","White","non HS Grad","Industrial","Average","No",72.1504556815713
65,"Married","White","non HS Grad","Industrial","Average","No",73.7757432746946
27,"Never Married","White","College Grad","Industrial","Good","Yes",127.115743812184
33,"Married","White","non HS Grad","Information","Good","No",20.9343779401018
49,"Married","White","HS Grad","Industrial","Good","Yes",79.8549003093467
27,"Never Married","White","Some College","Industrial","Average","Yes",102.870246933215
48,"Divorced","White","HS Grad","Industrial","Average","Yes",115.375038556391
38,"Never Married","White","Some College","Industrial","Average","Yes",97.4932940453934
58,"Married","White","Some College","Industrial","Average","No",104.921506533664
40,"Married","Asian","Advanced Degree","Industrial","Good","No",115.375038556391
46,"Married","White","HS Grad","Industrial","Good","No",93.4866920429597
53,"Married","Black","Some College","Information","Average","Yes",123.089699847943
25,"Never Married","Black","Advanced Degree","Information","Good","Yes",118.884359339886
42,"Married","White","Some College","Information","Good","Yes",96.3706528322308
40,"Never Married","White","HS Grad","Industrial","Good","Yes",84.0459576539924
35,"Married","White","HS Grad","Information","Good","Yes",127.115743812184
50,"Separated","White","HS Grad","Information","Average","No",95.2307125669819
34,"Married","White","Some College","Industrial","Good","Yes",81.2832532842527
48,"Married","White","HS Grad","Information","Good","Yes",102.870246933215
49,"Married","White","Advanced Degree","Information","Average","Yes",111.720849360989
41,"Married","Asian","College Grad","Information","Good","No",94.0727147457005
37,"Married","Asian","College Grad","Information","Good","Yes",127.115743812184
58,"Married","White","Some College","Information","Good","Yes",104.921506533664
28,"Never Married","Black","HS Grad","Industrial","Average","No",68.111994065327
33,"Married","White","HS Grad","Industrial","Good","Yes",128.680488220624
50,"Married","White","Some College","Industrial","Good","Yes",143.92735936583
38,"Married","White","HS Grad","Information","Good","Yes",103.90247060316
48,"Married","White","HS Grad","Industrial","Good","Yes",91.6992261117042
30,"Married","White","Some College","Industrial","Good","Yes",95.2307125669819
49,"Married","White","Advanced Degree","Information","Good","No",138.299126920883
44,"Married","White","College Grad","Information","Good","Yes",118.55677641507
50,"Married","White","HS Grad","Industrial","Good","Yes",94.0727147457005
58,"Married","Asian","College Grad","Information","Average","Yes",114.475713290347
45,"Never Married","White","College Grad","Information","Good","Yes",150.01328628271
44,"Married","White","Some College","Information","Good","No",97.4932940453934
35,"Divorced","White","College Grad","Information","Average","No",90.4819133566401
59,"Married","White","HS Grad","Information","Good","No",81.2832532842527
45,"Married","White","HS Grad","Information","Good","No",130.982177377461
51,"Married","White","College Grad","Industrial","Average","Yes",150.962783462143
61,"Married","White","Some College","Information","Good","No",130.982177377461
45,"Married","White","HS Grad","Industrial","Good","Yes",145.143601176911
34,"Never Married","White","College Grad","Industrial","Good","Yes",90.4819133566401
